application/vnd.ms-powerpoint.12,pptx
application/vnd.openxmlformats-officedocument.presentationml.presentation,pptx
application/vnd.ms-powerpoint,ppt
application/x-ppt,ppt
application/vnd.openxmlformats-officedocument.presentationml.template,potx
application/vnd.openxmlformats-officedocument.presentationml.slideshow,ppsx
application/vnd.ms-powerpoint.presentation.macroEnabled.12,pptm
application/vnd.ms-powerpoint.template.macroEnabled.12,potm
application/vnd.ms-powerpoint.slideshow.macroEnabled.12,ppsm
application/vnd.ms-excel,xls
application/x-xls,xls
application/vnd.ms-excel.12,xlsx
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx
application/vnd.openxmlformats-officedocument.spreadsheetml.template,xltx
application/vnd.ms-excel.sheet.binary.macroEnabled.12,xlsb
application/vnd.ms-excel.sheet.macroEnabled.12,xlsm
application/vnd.ms-excel.template.macroEnabled.12,xltm
application/msword,doc
application/vnd.ms-word.document.12,docx
application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx
application/vnd.ms-word.template.12,dotx
application/vnd.openxmlformats-officedocument.wordprocessingml.template,dotx
application/vnd.ms-word.document.macroEnabled.12,docm
application/vnd.ms-word.template.macroEnabled.12,dotm
application/vnd.ms-works,wps
application/pdf,pdf
application/x-rtf,rtf
application/xml,xml
text/plain,txt
text/xml,xml
text/html,html
text/csv,csv
